model,MAE,MAE_lo,MAE_hi,RMSE,R2,corr,skill_vs_zero
zero_change,2.393,2.104,2.68,3.176,-0.0,,0.0
yesterday_delta,3.447,3.033,3.916,4.647,-1.1413,-0.0718,-0.4405
monthly_delta_clim,2.393,2.098,2.682,3.174,0.001,0.0339,0.0002
ridge_levels_all163,1.859,1.665,2.039,2.388,0.4346,0.6648,0.2231
ridge_lvl+d_all163,1.851,1.646,2.024,2.414,0.4223,0.6565,0.2265
ridge_lvl+d+grad,1.847,1.642,2.019,2.412,0.4232,0.6568,0.2281
ridge_up7_lvl+dtmax,2.058,1.838,2.286,2.743,0.2538,0.5042,0.1401
ridge_up7_dtmax,2.115,1.873,2.342,2.835,0.2031,0.4535,0.1162
ridge_own_lvl+dtmax,2.422,2.144,2.691,3.122,0.0337,0.1838,-0.0119
